"orderid","orderdate","month_order","year_order","customerid","shipperid","sales","costs","profit","quantity","discount","freight","product","category","supplier","supplier_country","employeename","hiredate","office","reports_to","title","year_salary","profit2"
10255,2012-09-09,9,2012,68,1,320.95,265.75,55.20,35,0.00,43.89,Wimbledon T-Shirt,Sportwear,New Balls,Australia,Lennart Skoglund,1994-01-17,4,"4",Sales Representative,61200,11.31
10255,2012-09-09,9,2012,68,1,194.25,160.84,33.41,25,0.00,43.89,Mehmet-Tröja,Babywear,ABC,Sweden,Lennart Skoglund,1994-01-17,4,"4",Sales Representative,61200,-10.48
10255,2012-09-09,9,2012,68,1,234.90,198.24,36.66,30,0.00,43.89,Rasta WCT,Sportwear,FrisersAfrong,France,Lennart Skoglund,1994-01-17,4,"4",Sales Representative,61200,-7.23
10256,2011-10-11,10,2011,19,2,907.95,751.78,156.17,15,0.00,22.56,Jumpin Jack Flash Dress,Womens wear,Cangaroo Shoes,Australia,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,133.61
10256,2011-10-11,10,2011,19,2,162.00,134.14,27.86,12,0.00,22.56,Skirt,Womens wear,Austerlich,Germany,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,5.30
10257,2011-10-12,10,2011,35,2,1077.25,891.96,185.29,25,0.00,33.98,Tracksuit,Sportwear,Der Bahnhof,Germany,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,151.31
10257,2011-10-12,10,2011,35,2,329.04,272.71,56.33,6,0.00,33.98,Terence Top,Womens wear,Like Paradis,France,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,22.35
10257,2011-10-12,10,2011,35,2,192.60,159.47,33.13,15,0.00,33.98,Skirt,Womens wear,Austerlich,Germany,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,-0.85
10258,2012-10-14,10,2012,17,2,1201.20,828.83,372.37,50,200.20,68.14,Mr X Trousers,Men´s Clothes,Sunny Clothes,UK,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,304.23
10258,2012-10-14,10,2012,17,2,478.14,344.26,133.88,65,79.69,68.14,O-Man Underwear,Men´s Clothes,Big L,USA,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,65.74
10258,2012-10-14,10,2012,17,2,139.32,100.31,39.01,6,23.22,68.14,Rossi Bikkini,Bath Clothes,Ravenna Fashion,Italy,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-29.13
10259,2010-10-15,10,2010,13,2,101.40,87.61,13.79,10,0.00,30.11,Basket Shoes,Sportwear,Hot Pants,UK,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,-16.32
10259,2010-10-15,10,2010,13,2,4.37,3.78,0.59,1,0.00,30.11,Mehmet-Skor,Babywear,ABC,Sweden,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,-29.52
10260,2012-03-15,3,2012,56,2,200.40,138.52,61.88,16,40.08,56.99,Duck Shirt,Babywear,Mayflower,USA,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,4.89
10260,2012-03-15,3,2012,56,2,929.00,802.66,126.34,50,0.00,56.99,Burned Rubber Shoes,Ladies´Footwear,Pirilli Company,Italy,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,69.35
10260,2012-03-15,3,2012,56,2,540.38,373.51,166.87,15,108.08,56.99,Sheat Shoes,Sportwear,Fast Runners,Canada,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,109.88
10260,2012-03-15,3,2012,56,2,770.96,532.89,238.07,21,154.19,56.99,US-Master Jeans,Men´s Clothes,New Balls,Australia,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,181.08
10261,2012-10-16,10,2012,61,2,200.20,172.97,27.23,20,0.00,63.78,Basket Shoes,Sportwear,Hot Pants,UK,Elvis Presley,1993-09-14,1,"",President,80000,-36.55
10261,2012-10-16,10,2012,61,2,131.20,115.92,15.28,20,0.00,63.78,LA. Shorts,Bath Clothes,Smooth Clothes,USA,Elvis Presley,1993-09-14,1,"",President,80000,-48.50
10262,2009-08-19,8,2009,65,2,80.35,57.85,22.50,12,13.39,33.19,O-Man Underwear,Men´s Clothes,Big L,USA,Elvis Presley,1993-09-14,1,"",President,80000,-10.69
10262,2009-08-19,8,2009,65,2,574.50,496.37,78.13,15,0.00,33.19,Conserve Shoes,Children´s wear,Dressed for Succes,USA,Elvis Presley,1993-09-14,1,"",President,80000,44.94
10262,2009-08-19,8,2009,65,2,69.10,59.70,9.40,2,0.00,33.19,High Heels Shoes,Ladies´Footwear,Pirilli Company,Italy,Elvis Presley,1993-09-14,1,"",President,80000,-23.79
10263,2012-10-20,10,2012,63,2,709.50,490.41,219.09,60,141.90,30.64,Wimbledon T-Shirt,Sportwear,New Balls,Australia,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,188.45
10263,2012-10-20,10,2012,63,2,114.52,100.78,13.74,28,0.00,30.64,Samba Socker  Socks,Men´s Clothes,Samba,Brazil,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-16.90
10263,2012-10-20,10,2012,63,2,1992.75,1377.39,615.36,60,398.55,30.64,Baby Dark Lounge Suit,Babywear,Executive Clothing GMBH,Germany,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,584.72
10263,2012-10-20,10,2012,63,2,1254.15,866.87,387.28,36,250.83,30.64,Nikee Running Shoes,Children´s wear,Nitsuchiba,Japan,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,356.64
10264,2011-10-20,10,2011,17,2,719.25,621.43,97.82,35,0.00,54.09,Mr X Trousers,Men´s Clothes,Sunny Clothes,UK,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,43.73
10264,2011-10-20,10,2011,17,2,274.56,211.52,63.04,25,35.81,54.09,Duck Shirt,Babywear,Mayflower,USA,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,8.95
10265,2011-10-21,10,2011,7,1,717.00,619.49,97.51,30,0.00,28.57,TieBreak Tennis shoes,Men´s Footwear,New Balls,Australia,Ingrid Hendrix,1995-10-17,3,"4",Sales Representative,61300,68.94
10265,2011-10-21,10,2011,7,1,556.20,486.50,69.70,20,0.00,28.57,US-Master Jeans,Men´s Clothes,New Balls,Australia,Ingrid Hendrix,1995-10-17,3,"4",Sales Representative,61300,41.13
10266,2012-10-23,10,2012,87,2,128.02,105.34,22.68,12,6.10,32.72,Tiny Winy Hot Bikini,Bath Clothes,Los Hombres Machos,Spain,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,-10.04
10267,2012-04-25,4,2012,25,2,935.50,808.27,127.23,50,0.00,49.70,Duck Trousers,Babywear,Mayflower,USA,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,77.53
10267,2012-04-25,4,2012,25,2,697.13,523.76,173.37,70,90.93,49.70,Rasta WCT,Sportwear,FrisersAfrong,France,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,123.67
10267,2012-04-25,4,2012,25,2,6356.80,4775.89,1580.91,15,829.15,49.70,Minnki Pälsii,Womens wear,Nordik Koskenkorva,Finland,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,1531.21
10268,2009-10-27,10,2009,33,2,1173.00,1013.47,159.53,10,0.00,69.28,Davenport,Men´s Footwear,Austerlich,Germany,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,90.25
10268,2009-10-27,10,2009,33,2,50.56,43.68,6.88,4,0.00,69.28,Rossi Shorts,Bath Clothes,Ravenna Fashion,Italy,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,-62.40
10269,2010-07-28,7,2010,89,2,1726.20,1420.42,305.78,60,82.20,54.26,Car Boots,Sportwear,Bar Åkeri,Norway,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,251.52
10269,2010-07-28,7,2010,89,2,255.57,210.30,45.27,20,12.17,54.26,Rossi Shorts,Bath Clothes,Ravenna Fashion,Italy,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,-8.99
10270,2012-10-29,10,2012,87,2,233.40,201.66,31.74,30,0.00,21.29,Mehmet-Tröja,Babywear,ABC,Sweden,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,10.45
10270,2012-10-29,10,2012,87,2,326.50,282.10,44.40,25,0.00,21.29,Summer Shorts,Bath Clothes,Asin Fashion Ltd Co,Singapore,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,23.11
10271,2010-03-09,3,2010,37,2,577.44,498.91,78.53,24,0.00,62.31,Car Boots,Sportwear,Bar Åkeri,Norway,Elvis Presley,1993-09-14,1,"",President,80000,16.22
10272,2010-08-30,8,2010,65,2,529.50,457.49,72.01,6,0.00,40.25,Tennis Suit,Sportwear,Hot Pants,UK,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,31.76
10272,2010-08-30,8,2010,65,2,312.40,269.91,42.49,40,0.00,40.25,Rossi Bermuda Shorts,Bath Clothes,Ravenna Fashion,Italy,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,2.24
10272,2010-08-30,8,2010,65,2,282.24,263.43,18.81,24,0.00,40.25,Rossi Shorts,Bath Clothes,Ravenna Fashion,Italy,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,-21.44
10273,2012-01-01,1,2012,63,2,173.38,142.66,30.71,24,8.26,78.00,Sapporoo Gloves,Babywear,Nitsuchiba,Japan,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-47.28
10273,2012-01-01,1,2012,63,2,140.96,115.99,24.97,15,6.71,78.00,Rossi Bermuda Shorts,Bath Clothes,Ravenna Fashion,Italy,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-53.03
10273,2012-01-01,1,2012,63,2,509.00,439.78,69.22,20,0.00,78.00,Car Boots,Sportwear,Bar Åkeri,Norway,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-8.78
10273,2012-01-01,1,2012,63,2,1219.05,1003.10,215.95,60,58.05,78.00,Duck Trousers,Babywear,Mayflower,USA,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,137.95
10273,2012-01-01,1,2012,63,2,14281.34,11751.51,2529.84,33,680.06,78.00,Minnki Pälsii,Womens wear,Nordik Koskenkorva,Finland,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,2451.83
10274,2012-11-03,11,2012,85,1,623.40,538.62,84.78,20,0.00,35.09,Atles Lussekofta,Men´s Clothes,Bar Åkeri,Norway,Ingrid Hendrix,1995-10-17,3,"4",Sales Representative,61300,49.69
10274,2012-11-03,11,2012,85,1,83.93,72.52,11.41,7,0.00,35.09,Rossi Shorts,Bath Clothes,Ravenna Fashion,Italy,Ingrid Hendrix,1995-10-17,3,"4",Sales Representative,61300,-23.68
10275,2011-11-03,11,2011,73,2,51.91,46.05,5.86,12,2.47,29.81,Samba Socker  Socks,Men´s Clothes,Samba,Brazil,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,-23.95
10275,2011-11-03,11,2011,73,2,56.20,46.24,9.95,6,2.68,29.81,Rasta WCT,Sportwear,FrisersAfrong,France,Helen Brolin,1995-02-15,1,"4",Sales Representative,60000,-19.85
10276,2010-01-05,1,2010,80,3,103.80,89.68,14.12,15,0.00,22.95,Sapporoo Gloves,Babywear,Nitsuchiba,Japan,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,-8.83
10276,2010-01-05,1,2010,80,3,274.50,237.17,37.33,10,0.00,22.95,Aino Shoes,Babywear,SatSUMAs,Japan,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,14.38
10277,2012-11-06,11,2012,1,2,889.60,768.61,120.99,20,0.00,77.65,RDL Suit,Children´s wear,Austerlich,Germany,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,43.34
10277,2012-11-06,11,2012,1,2,360.96,311.87,49.09,12,0.00,77.65,Sheat Shoes,Sportwear,Fast Runners,Canada,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-28.56
10278,2009-11-09,11,2009,5,2,1292.48,1116.70,175.78,16,0.00,50.46,Okkaba Skin Jackets,Womens wear,Asin Fashion Ltd Co,Singapore,Elvis Presley,1993-09-14,1,"",President,80000,125.32
10278,2009-11-09,11,2009,5,2,128.55,115.22,13.33,15,0.00,50.46,Rasta WCT,Sportwear,FrisersAfrong,France,Elvis Presley,1993-09-14,1,"",President,80000,-37.13
10278,2009-11-09,11,2009,5,2,168.16,145.29,22.87,8,0.00,50.46,Serve-Shirt,Womens wear,New Balls,Australia,Elvis Presley,1993-09-14,1,"",President,80000,-27.59
10278,2009-11-09,11,2009,5,2,26.75,23.11,3.64,25,0.00,50.46,Mehmet-Napp,Babywear,ABC,Sweden,Elvis Presley,1993-09-14,1,"",President,80000,-46.82
10279,2011-11-09,11,2011,44,2,506.63,372.12,134.51,15,101.33,46.34,TieBreak Tennis shoes,Men´s Footwear,New Balls,Australia,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,88.17
10280,2010-03-11,3,2010,5,2,51.00,44.06,6.94,12,0.00,38.06,Samba Socker  Socks,Men´s Clothes,Samba,Brazil,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,-31.12
10280,2010-03-11,3,2010,5,2,849.40,733.88,115.52,20,0.00,38.06,Feiss Fleece Trousers,Sportwear,Mountain International,Canada,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,77.46
10280,2010-03-11,3,2010,5,2,216.30,186.88,29.42,30,0.00,38.06,Bow tie,Men´s Clothes,Austerlich,Germany,Rob Carsson,1994-10-01,1,"4",Sales Representative,63000,-8.64
10281,2011-11-10,11,2011,69,1,9.90,8.55,1.35,1,0.00,21.86,Squash Shorts,Sportwear,Hot Pants,UK,Joan Callins,1994-09-03,3,"2",Sales Manager,70000,-20.51
10281,2011-11-10,11,2011,69,1,25.08,21.67,3.41,6,0.00,21.86,Samba Socker  Socks,Men´s Clothes,Samba,Brazil,Joan Callins,1994-09-03,3,"2",Sales Manager,70000,-18.45
10281,2011-11-10,11,2011,69,1,25.48,22.44,3.04,4,0.00,21.86,LA. Shorts,Bath Clothes,Smooth Clothes,USA,Joan Callins,1994-09-03,3,"2",Sales Manager,70000,-18.82
10282,2011-11-11,11,2011,69,1,158.28,136.75,21.53,6,0.00,22.03,Baby Dark Lounge Suit,Babywear,Executive Clothing GMBH,Germany,Ingrid Hendrix,1995-10-17,3,"4",Sales Representative,61300,-0.50
10282,2011-11-11,11,2011,69,1,42.04,36.32,5.72,2,0.00,22.03,Burned Rubber Shoes,Ladies´Footwear,Pirilli Company,Italy,Ingrid Hendrix,1995-10-17,3,"4",Sales Representative,61300,-16.31
10283,2012-11-13,11,2012,46,2,130.60,112.84,17.76,20,0.00,66.34,Sumi Underwear,Womens wear,SatSUMAs,Japan,Elvis Presley,1993-09-14,1,"",President,80000,-48.58
10283,2012-11-13,11,2012,46,2,165.24,142.77,22.47,18,0.00,66.34,Squash Shorts,Sportwear,Hot Pants,UK,Elvis Presley,1993-09-14,1,"",President,80000,-43.87
10283,2012-11-13,11,2012,46,2,181.30,156.64,24.66,35,0.00,66.34,Game Over T-Shirt,Sportwear,FrisersAfrong,France,Elvis Presley,1993-09-14,1,"",President,80000,-41.68
10283,2012-11-13,11,2012,46,2,34.98,30.22,4.76,3,0.00,66.34,Rossi Shorts,Bath Clothes,Ravenna Fashion,Italy,Elvis Presley,1993-09-14,1,"",President,80000,-61.58
10284,2011-11-15,11,2011,44,2,806.81,557.67,249.14,15,161.36,65.41,Tracksuit,Sportwear,Der Bahnhof,Germany,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,183.73
10284,2011-11-15,11,2011,44,2,1435.77,1240.51,195.26,21,0.00,65.41,Okkaba Skin Jackets,Womens wear,Asin Fashion Ltd Co,Singapore,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,129.85
10284,2011-11-15,11,2011,44,2,118.25,81.73,36.52,20,23.65,65.41,Game Over T-Shirt,Sportwear,FrisersAfrong,France,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-28.89
10284,2011-11-15,11,2011,44,2,400.44,276.78,123.66,5,80.09,65.41,X-Dress,Womens wear,Smooth Clothes,USA,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,58.25
10285,2010-11-17,11,2010,63,2,1064.88,766.71,298.17,45,177.48,71.59,Lenin Jeansshorts,Men´s Clothes,Sunny Clothes,UK,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,226.58
10285,2010-11-17,11,2010,63,2,826.56,595.12,231.44,40,137.76,71.59,Duck Trousers,Babywear,Mayflower,USA,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,159.85
10285,2010-11-17,11,2010,63,2,2633.47,1896.10,737.37,36,438.91,71.59,Jumpin Jack Flash Dress,Womens wear,Cangaroo Shoes,Australia,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,665.78
10286,2009-09-18,9,2009,63,2,606.00,523.58,82.42,100,0.00,42.17,LA. Shorts,Bath Clothes,Smooth Clothes,USA,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,40.25
10286,2009-09-18,9,2009,63,2,1211.20,1046.48,164.72,40,0.00,42.17,Sheat Shoes,Sportwear,Fast Runners,Canada,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,122.55
10287,2009-09-19,9,2009,67,2,408.48,306.89,101.59,40,53.28,70.97,Wimbledon T-Shirt,Sportwear,New Balls,Australia,Elvis Presley,1993-09-14,1,"",President,80000,30.62
10287,2009-09-19,9,2009,67,2,153.40,132.54,20.86,20,0.00,70.97,Baywatch Bikkini,Bath Clothes,Smooth Clothes,USA,Elvis Presley,1993-09-14,1,"",President,80000,-50.11
10287,2009-09-19,9,2009,67,2,210.97,168.07,42.90,15,27.52,70.97,Rodbye Troje,Babywear,Prael Ltd,Denmark,Elvis Presley,1993-09-14,1,"",President,80000,-28.07
10288,2011-11-19,11,2011,66,1,369.82,290.48,79.34,10,33.62,77.13,Patamonia Fleece Jacket,Sportwear,Mountain International,Canada,Lennart Skoglund,1994-01-17,4,"4",Sales Representative,61200,2.21
10288,2011-11-19,11,2011,66,1,38.81,30.48,8.33,3,3.53,77.13,Cap,Sportwear,Hot Pants,UK,Lennart Skoglund,1994-01-17,4,"4",Sales Representative,61200,-68.80
10289,2011-11-22,11,2011,1,2,616.20,532.40,83.80,30,0.00,25.25,Chantell Shirt,Womens wear,Sunny Clothes,UK,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,58.55
10289,2011-11-22,11,2011,1,2,320.40,276.83,43.57,9,0.00,25.25,WFS shoes,Ladies´Footwear,Austerlich,Germany,Leif Shine,1994-03-05,2,"2",Sales Coordinator,65000,18.32
10290,2012-11-24,11,2012,1,2,131.40,113.53,17.87,20,0.00,58.77,O-Man Underwear,Men´s Clothes,Big L,USA,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-40.90
10290,2012-11-24,11,2012,1,2,1890.45,1633.35,257.10,15,0.00,58.77,Davenport,Men´s Footwear,Austerlich,Germany,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,198.33
10290,2012-11-24,11,2012,1,2,294.90,254.79,40.11,15,0.00,58.77,Finnish Sport Blades,Sportwear,Nordik Koskenkorva,Finland,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-18.66
10290,2012-11-24,11,2012,1,2,134.90,116.55,18.35,10,0.00,58.77,Skirt,Womens wear,Austerlich,Germany,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-40.42
10291,2009-11-24,11,2009,61,2,506.66,397.96,108.70,20,46.06,21.08,Aino Shoes,Babywear,SatSUMAs,Japan,Elvis Presley,1993-09-14,1,"",President,80000,87.62
10291,2009-11-24,11,2009,61,2,2182.75,1714.45,468.30,24,198.43,21.08,Okkaba Skin Jackets,Womens wear,Asin Fashion Ltd Co,Singapore,Elvis Presley,1993-09-14,1,"",President,80000,447.22
10291,2009-11-24,11,2009,61,2,234.43,184.14,50.30,2,21.31,21.08,Snake Boots,Men´s Footwear,Cangaroo Shoes,Australia,Elvis Presley,1993-09-14,1,"",President,80000,29.21
10292,2011-11-24,11,2011,81,2,1681.40,1452.73,228.67,20,0.00,78.59,Tennis Suit,Sportwear,Hot Pants,UK,Elvis Presley,1993-09-14,1,"",President,80000,150.08
10293,2012-09-26,9,2012,80,3,328.56,283.88,44.68,12,0.00,76.28,Deuce shirt,Babywear,New Balls,Australia,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,-31.60
10293,2012-09-26,9,2012,80,3,41.10,35.51,5.59,10,0.00,76.28,Samba Socker  Socks,Men´s Clothes,Samba,Brazil,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,-70.69
10293,2012-09-26,9,2012,80,3,105.30,90.98,14.32,5,0.00,76.28,Serve-Shirt,Womens wear,New Balls,Australia,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,-61.96
10293,2012-09-26,9,2012,80,3,45.60,39.40,6.20,6,0.00,76.28,Bow tie,Men´s Clothes,Austerlich,Germany,Rock Roll,1994-10-01,5,"4",Sales Representative,61000,-70.08
10294,2012-07-27,7,2012,19,2,389.88,336.86,53.02,18,0.00,35.17,Lenin Jeansshorts,Men´s Clothes,Sunny Clothes,UK,Elvis Presley,1993-09-14,1,"",President,80000,17.85
10294,2012-07-27,7,2012,19,2,369.30,319.08,50.22,15,0.00,35.17,TieBreak Tennis shoes,Men´s Footwear,New Balls,Australia,Elvis Presley,1993-09-14,1,"",President,80000,15.05
10294,2012-07-27,7,2012,19,2,193.50,167.18,26.32,15,0.00,35.17,Summer Shorts,Bath Clothes,Asin Fashion Ltd Co,Singapore,Elvis Presley,1993-09-14,1,"",President,80000,-8.85
10294,2012-07-27,7,2012,19,2,95.76,87.57,8.19,21,0.00,35.17,Game Over T-Shirt,Sportwear,FrisersAfrong,France,Elvis Presley,1993-09-14,1,"",President,80000,-26.98
10294,2012-07-27,7,2012,19,2,49.32,42.61,6.71,6,0.00,35.17,Bow tie,Men´s Clothes,Austerlich,Germany,Elvis Presley,1993-09-14,1,"",President,80000,-28.46
10295,2012-11-30,11,2012,79,2,139.36,120.41,18.95,4,0.00,71.49,High Heels Shoes,Ladies´Footwear,Pirilli Company,Italy,Tom Lindwall,1995-11-22,2,"4",Sales Representative,61000,-52.54
10296,2009-10-04,10,2009,46,2,319.44,276.00,43.44,12,0.00,22.40,Desperado Jeans,Men´s Clothes,Los Hombres Machos,Spain,Elvis Presley,1993-09-14,1,"",President,80000,21.04
10296,2009-10-04,10,2009,46,2,280.80,242.61,38.19,30,0.00,22.40,Wimbledon T-Shirt,Sportwear,New Balls,Australia,Elvis Presley,1993-09-14,1,"",President,80000,15.79
10296,2009-10-04,10,2009,46,2,28.35,24.49,3.86,15,0.00,22.40,Racing Truck  Socks,Sportwear,Bar Åkeri,Norway,Elvis Presley,1993-09-14,1,"",President,80000,-18.54
10297,2012-08-01,8,2012,7,1,3561.00,3076.70,484.30,60,0.00,52.73,Terence Top,Womens wear,Like Paradis,France,Joan Callins,1994-09-03,3,"2",Sales Manager,70000,431.57
10297,2012-08-01,8,2012,7,1,239.00,206.50,32.50,20,0.00,52.73,Rossi Shorts,Bath Clothes,Ravenna Fashion,Italy,Joan Callins,1994-09-03,3,"2",Sales Manager,70000,-20.23
